fractalpar,width,frames,threads,segs,speedup,efficiency
1,128,32,1,0.6729,,
1,128,32,2,0.3493,1.9263,96.31%
1,128,32,4,0.1812,3.7142,92.85%
1,128,32,8,0.1159,5.8077,72.60%
1,128,32,16,0.0683,9.8468,61.54%
1,128,32,32,0.0396,16.9924,53.10%
1,128,64,1,1.2575,,
1,128,64,2,0.6409,1.9620,98.10%
1,128,64,4,0.3534,3.5579,88.95%
1,128,64,8,0.2099,5.9907,74.88%
1,128,64,16,0.1119,11.2356,70.22%
1,128,64,32,0.0754,16.6710,52.10%
1,128,128,1,2.7338,,
1,128,128,2,1.3989,1.9542,97.71%
1,128,128,4,0.7227,3.7830,94.57%
1,128,128,8,0.4190,6.5240,81.55%
1,128,128,16,0.2277,12.0049,75.03%
1,128,128,32,0.1321,20.7018,64.69%
1,128,256,1,5.8784,,
1,128,256,2,2.9871,1.9679,98.40%
1,128,256,4,1.5308,3.8401,96.00%
1,128,256,8,0.8575,6.8552,85.69%
1,128,256,16,0.4587,12.8154,80.10%
1,128,256,32,0.2528,23.2497,72.66%
1,128,384,1,9.5169,,
1,128,384,2,4.8321,1.9695,98.48%
1,128,384,4,2.5267,3.7665,94.16%
1,128,384,8,1.3526,7.0360,87.95%
1,128,384,16,0.7263,13.1030,81.89%
1,128,384,32,0.3918,24.2892,75.90%
1,256,32,1,2.6162,,
1,256,32,2,1.3286,1.9691,98.46%
1,256,32,4,0.6765,3.8674,96.69%
1,256,32,8,0.4309,6.0720,75.90%
1,256,32,16,0.2341,11.1772,69.86%
1,256,32,32,0.1575,16.6111,51.91%
1,256,64,1,5.0286,,
1,256,64,2,2.5921,1.9400,97.00%
1,256,64,4,1.3713,3.6671,91.68%
1,256,64,8,0.7397,6.7978,84.97%
1,256,64,16,0.4151,12.1135,75.71%
1,256,64,32,0.2642,19.0337,59.48%
1,256,128,1,10.9440,,
1,256,128,2,5.5794,1.9615,98.07%
1,256,128,4,2.8427,3.8498,96.25%
1,256,128,8,1.6389,6.6777,83.47%
1,256,128,16,0.8848,12.3692,77.31%
1,256,128,32,0.5413,20.2194,63.19%
1,256,256,1,23.4549,,
1,256,256,2,11.9027,1.9706,98.53%
1,256,256,4,6.3215,3.7103,92.76%
1,256,256,8,3.3202,7.0644,88.30%
1,256,256,16,1.7866,13.1281,82.05%
1,256,256,32,0.9610,24.4062,76.27%
1,256,384,1,37.8796,,
1,256,384,2,19.3042,1.9622,98.11%
1,256,384,4,10.0487,3.7696,94.24%
1,256,384,8,5.2304,7.2422,90.53%
1,256,384,16,2.8765,13.1687,82.30%
1,256,384,32,1.5064,25.1462,78.58%
1,512,32,1,10.3667,,
1,512,32,2,5.3087,1.9528,97.64%
1,512,32,4,2.7924,3.7125,92.81%
1,512,32,8,1.5820,6.5530,81.91%
1,512,32,16,0.8263,12.5460,78.41%
1,512,32,32,0.5208,19.9037,62.20%
1,512,64,1,19.9183,,
1,512,64,2,10.0244,1.9870,99.35%
1,512,64,4,5.2768,3.7747,94.37%
1,512,64,8,2.8762,6.9253,86.57%
1,512,64,16,1.6137,12.3434,77.15%
1,512,64,32,0.9740,20.4503,63.91%
1,512,128,1,43.7582,,
1,512,128,2,21.9686,1.9918,99.59%
1,512,128,4,11.6953,3.7415,93.54%
1,512,128,8,6.2843,6.9631,87.04%
1,512,128,16,3.3847,12.9282,80.80%
1,512,128,32,1.8706,23.3926,73.10%
1,512,256,1,93.8957,,
1,512,256,2,47.1653,1.9908,99.54%
1,512,256,4,24.6484,3.8094,95.24%
1,512,256,8,13.3092,7.0549,88.19%
1,512,256,16,7.0443,13.3293,83.31%
1,512,256,32,3.6595,25.6582,80.18%
1,512,384,1,151.5868,,
1,512,384,2,76.1428,1.9908,99.54%
1,512,384,4,39.9055,3.7986,94.97%
1,512,384,8,21.6056,7.0161,87.70%
1,512,384,16,11.3308,13.3783,83.61%
1,512,384,32,5.8139,26.0733,81.48%
1,1024,32,1,42.0712,,
1,1024,32,2,21.9356,1.9179,95.90%
1,1024,32,4,11.5420,3.6451,91.13%
1,1024,32,8,6.0698,6.9312,86.64%
1,1024,32,16,3.2871,12.7991,79.99%
1,1024,32,32,1.7631,23.8618,74.57%
1,1024,64,1,82.6381,,
1,1024,64,2,41.8749,1.9735,98.67%
1,1024,64,4,21.8243,3.7865,94.66%
1,1024,64,8,11.9494,6.9156,86.45%
1,1024,64,16,6.1157,13.5125,84.45%
1,1024,64,32,3.3038,25.0129,78.17%
1,1024,128,1,183.2695,,
1,1024,128,2,91.9873,1.9923,99.62%
1,1024,128,4,47.4623,3.8614,96.53%
1,1024,128,8,25.6889,7.1342,89.18%
1,1024,128,16,13.6630,13.4135,83.83%
1,1024,128,32,7.2741,25.1949,78.73%
1,1024,256,1,378.2419,,
1,1024,256,2,190.2889,1.9877,99.39%
1,1024,256,4,99.6951,3.7940,94.85%
1,1024,256,8,53.4922,7.0710,88.39%
1,1024,256,16,27.9395,13.5379,84.61%
1,1024,256,32,14.4005,26.2659,82.08%
1,1024,384,1,605.8476,,
1,1024,384,2,307.7439,1.9687,98.43%
1,1024,384,4,163.1463,3.7135,92.84%
1,1024,384,8,86.0075,7.0441,88.05%
1,1024,384,16,44.9966,13.4643,84.15%
1,1024,384,32,22.9888,26.3540,82.36%
1,2048,32,1,153.4127,,
1,2048,32,2,77.1797,1.9877,99.39%
1,2048,32,4,40.6883,3.7704,94.26%
1,2048,32,8,21.5039,7.1342,89.18%
1,2048,32,16,11.4599,13.3870,83.67%
1,2048,32,32,6.4693,23.7138,74.11%
1,2048,64,1,293.2708,,
1,2048,64,2,147.3243,1.9906,99.53%
1,2048,64,4,77.6836,3.7752,94.38%
1,2048,64,8,41.9088,6.9978,87.47%
1,2048,64,16,21.8617,13.4149,83.84%
1,2048,64,32,11.6352,25.2055,78.77%
1,2048,128,1,644.2625,,
1,2048,128,2,323.2579,1.9930,99.65%
1,2048,128,4,171.9104,3.7477,93.69%
1,2048,128,8,91.3834,7.0501,88.13%
1,2048,128,16,48.6451,13.2441,82.78%
1,2048,128,32,25.4944,25.2707,78.97%
1,2048,256,1,1450.2122,,
1,2048,256,2,742.9139,1.9521,97.60%
1,2048,256,4,383.4599,3.7819,94.55%
1,2048,256,8,203.8174,7.1153,88.94%
1,2048,256,16,103.4329,14.0208,87.63%
1,2048,256,32,55.6533,26.0580,81.43%
1,2048,384,1,2366.0652,,
1,2048,384,2,1189.8515,1.9885,99.43%
1,2048,384,4,619.5239,3.8192,95.48%
1,2048,384,8,329.6238,7.1781,89.73%
1,2048,384,16,166.7988,14.1851,88.66%
1,2048,384,32,87.6265,27.0017,84.38%
