fractalpar,width,frames,threads,segs,speedup,efficiency
1,128,32,1,0.6872,,
1,128,32,2,0.3783,1.8165,90.83%
1,128,32,4,0.2425,2.8337,70.84%
1,128,32,8,0.1309,5.2518,65.65%
1,128,32,16,0.0753,9.1264,57.04%
1,128,32,32,0.0473,14.5331,45.42%
1,128,64,1,1.2568,,
1,128,64,2,0.7161,1.7549,87.75%
1,128,64,4,0.3924,3.2025,80.06%
1,128,64,8,0.2294,5.4784,68.48%
1,128,64,16,0.1300,9.6665,60.42%
1,128,64,32,0.0880,14.2769,44.62%
1,128,128,1,2.7336,,
1,128,128,2,1.6190,1.6884,84.42%
1,128,128,4,0.9364,2.9193,72.98%
1,128,128,8,0.5734,4.7675,59.59%
1,128,128,16,0.2865,9.5398,59.62%
1,128,128,32,0.1646,16.6107,51.91%
1,128,256,1,6.2376,,
1,128,256,2,3.1430,1.9846,99.23%
1,128,256,4,1.6741,3.7260,93.15%
1,128,256,8,1.0212,6.1081,76.35%
1,128,256,16,0.5771,10.8083,67.55%
1,128,256,32,0.3176,19.6378,61.37%
1,128,384,1,9.1745,,
1,128,384,2,5.1453,1.7831,89.15%
1,128,384,4,2.7878,3.2909,82.27%
1,128,384,8,1.5294,5.9987,74.98%
1,128,384,16,0.9062,10.1235,63.27%
1,128,384,32,0.5059,18.1356,56.67%
1,256,32,1,2.6643,,
1,256,32,2,1.4108,1.8885,94.43%
1,256,32,4,0.7884,3.3793,84.48%
1,256,32,8,0.4254,6.2632,78.29%
1,256,32,16,0.2396,11.1188,69.49%
1,256,32,32,0.1456,18.2996,57.19%
1,256,64,1,5.0757,,
1,256,64,2,2.5165,2.0170,100.85%
1,256,64,4,1.4679,3.4579,86.45%
1,256,64,8,0.8860,5.7286,71.61%
1,256,64,16,0.4928,10.2991,64.37%
1,256,64,32,0.2605,19.4883,60.90%
1,256,128,1,10.4180,,
1,256,128,2,5.8903,1.7687,88.43%
1,256,128,4,3.5489,2.9356,73.39%
1,256,128,8,1.8268,5.7029,71.29%
1,256,128,16,1.0829,9.6208,60.13%
1,256,128,32,0.6121,17.0214,53.19%
1,256,256,1,23.0534,,
1,256,256,2,12.7678,1.8056,90.28%
1,256,256,4,6.9130,3.3348,83.37%
1,256,256,8,3.6750,6.2730,78.41%
1,256,256,16,2.0480,11.2564,70.35%
1,256,256,32,1.0905,21.1397,66.06%
1,256,384,1,37.7076,,
1,256,384,2,19.8356,1.9010,95.05%
1,256,384,4,11.4479,3.2938,82.35%
1,256,384,8,5.9453,6.3424,79.28%
1,256,384,16,3.2232,11.6988,73.12%
1,256,384,32,1.7628,21.3913,66.85%
1,512,32,1,10.0144,,
1,512,32,2,5.3442,1.8739,93.69%
1,512,32,4,2.6898,3.7230,93.08%
1,512,32,8,1.6149,6.2012,77.52%
1,512,32,16,0.9088,11.0195,68.87%
1,512,32,32,0.4972,20.1396,62.94%
1,512,64,1,19.2420,,
1,512,64,2,10.3165,1.8652,93.26%
1,512,64,4,5.4369,3.5391,88.48%
1,512,64,8,2.8952,6.6462,83.08%
1,512,64,16,1.6131,11.9283,74.55%
1,512,64,32,0.8725,22.0544,68.92%
1,512,128,1,42.3337,,
1,512,128,2,23.7366,1.7835,89.17%
1,512,128,4,13.0834,3.2357,80.89%
1,512,128,8,7.0823,5.9774,74.72%
1,512,128,16,3.9154,10.8120,67.57%
1,512,128,32,2.0694,20.4568,63.93%
1,512,256,1,97.0849,,
1,512,256,2,53.9139,1.8007,90.04%
1,512,256,4,27.6654,3.5093,87.73%
1,512,256,8,15.2366,6.3718,79.65%
1,512,256,16,7.8177,12.4186,77.62%
1,512,256,32,4.1212,23.5576,73.62%
1,512,384,1,159.6975,,
1,512,384,2,86.7334,1.8412,92.06%
1,512,384,4,47.0669,3.3930,84.82%
1,512,384,8,25.3828,6.2916,78.64%
1,512,384,16,12.7670,12.5086,78.18%
1,512,384,32,6.6847,23.8899,74.66%
1,1024,32,1,42.8402,,
1,1024,32,2,22.6478,1.8916,94.58%
1,1024,32,4,11.8036,3.6294,90.74%
1,1024,32,8,6.3871,6.7073,83.84%
1,1024,32,16,3.2597,13.1426,82.14%
1,1024,32,32,1.7207,24.8968,77.80%
1,1024,64,1,83.1084,,
1,1024,64,2,43.8407,1.8957,94.78%
1,1024,64,4,23.7664,3.4969,87.42%
1,1024,64,8,12.7486,6.5190,81.49%
1,1024,64,16,6.4508,12.8834,80.52%
1,1024,64,32,3.3693,24.6660,77.08%
1,1024,128,1,180.3997,,
1,1024,128,2,100.8961,1.7880,89.40%
1,1024,128,4,54.8888,3.2866,82.17%
1,1024,128,8,29.2157,6.1748,77.18%
1,1024,128,16,15.2098,11.8607,74.13%
1,1024,128,32,8.1519,22.1299,69.16%
1,1024,256,1,393.5551,,
1,1024,256,2,208.5952,1.8867,94.33%
1,1024,256,4,103.9817,3.7849,94.62%
1,1024,256,8,56.4548,6.9712,87.14%
1,1024,256,16,29.8517,13.1837,82.40%
1,1024,256,32,16.0401,24.5357,76.67%
1,1024,384,1,597.3818,,
1,1024,384,2,323.4291,1.8470,92.35%
1,1024,384,4,175.8729,3.3967,84.92%
1,1024,384,8,94.2501,6.3383,79.23%
1,1024,384,16,48.5512,12.3042,76.90%
1,1024,384,32,25.7994,23.1548,72.36%
