repetitions, np, media sr_bcast (secs), media MPI_Bcast (secs)
2000, 1, 0.019126, 0.021539
2000, 2, 0.160562, 0.153144
2000, 4, 0.652015, 0.367588
2000, 8, 2.851375, 0.714094
2000, 16, 14.607729, 1.207089
2000, 32, 72.073526, 1.918873
4000, 1, 0.007170, 0.024450
4000, 2, 0.538322, 0.544579
4000, 4, 2.661983, 1.401466
4000, 8, 18.606657, 2.838476
4000, 16, 85.070797, 5.672350
4000, 32, 246.57890, 9.844242
8000, 1, 0.018524, 0.030709
8000, 2, 2.215361, 2.193649
8000, 4, 14.673018, 6.542679
8000, 8, 91.953640, 15.959122
8000, 16, 349.384963, 31.013915
8000, 32, 980.114095, 54.027079
