bandwidth (Bps), latency (usec), array size, np, time
32, 1000, 100, 1, 0.000150
32, 1000, 100, 2, 37.132006
32, 1000, 100, 4, 39.137717
32, 1000, 100, 8, 91.315872
32, 1000, 100, 16, 195.628388
32, 1000, 100, 32, 404.280593
32, 1000, 1000, 1, 0.000280
32, 1000, 1000, 2, 161.466837
32, 1000, 1000, 4, 387.075769
32, 1000, 1000, 8, 903.171542
32, 1000, 1000, 16, 1935.318647
32, 1000, 1000, 32, 3999.641174
32, 1000, 3000, 1, 0.000244
32, 1000, 3000, 2, 638.689614
32, 1000, 3000, 4, 1160.273050
32, 1000, 3000, 8, 2707.296838
32, 1000, 3000, 16, 5801.299502
32, 1000, 3000, 32, 11989.333341

32, 1000000, 100, 1, 0.000159
32, 1000000, 100, 2, 45.060246
32, 1000000, 100, 4, 55.116530
32, 1000000, 100, 8, 123.395984
32, 1000000, 100, 16, 215.632168
32, 1000000, 100, 32, 428.309877
32, 1000000, 1000, 1, 0.000226
32, 1000000, 1000, 2, 169.250377
32, 1000000, 1000, 4, 402.909915
32, 1000000, 1000, 8, 935.106921
32, 1000000, 1000, 16, 1955.178170
32, 1000000, 1000, 32, 4023.525915
32, 1000000, 3000, 1, 0.000361
32, 1000000, 3000, 2, 647.895568
32, 1000000, 3000, 4, 1177.529882
32, 1000000, 3000, 8, 2740.654675
32, 1000000, 3000, 16, 5822.581576
32, 1000000, 3000, 32, 12014.640697

512, 1000, 100, 1, 0.000198
512, 1000, 100, 2, 2.328335
512, 1000, 100, 4, 2.461227
512, 1000, 100, 8, 5.737506
512, 1000, 100, 16, 12.245680
512, 1000, 100, 32, 25.290616
512, 1000, 1000, 1, 0.000260
512, 1000, 1000, 2, 10.099208
512, 1000, 1000, 4, 24.207263
512, 1000, 1000, 8, 56.478344
512, 1000, 1000, 16, 120.976285
512, 1000, 1000, 32, 250.000243
512, 1000, 3000, 1, 0.000245
512, 1000, 3000, 2, 39.926953
512, 1000, 3000, 4, 72.533577
512, 1000, 3000, 8, 169.237736
512, 1000, 3000, 16, 362.601695
512, 1000, 3000, 32, 749.357394

512, 1000000, 100, 1, 0.000164
512, 1000000, 100, 2, 10.256612
512, 1000000, 100, 4, 18.440065
512, 1000000, 100, 8, 37.817614
512, 1000000, 100, 16, 32.249806
512, 1000000, 100, 32, 49.319676
512, 1000000, 1000, 1, 0.000241
512, 1000000, 1000, 2, 17.882783
512, 1000000, 1000, 4, 40.041475
512, 1000000, 1000, 8, 88.413774
512, 1000000, 1000, 16, 140.835786
512, 1000000, 1000, 32, 273.885237
512, 1000000, 3000, 1, 0.000335
512, 1000000, 3000, 2, 49.133167
512, 1000000, 3000, 4, 89.790221
512, 1000000, 3000, 8, 202.595634
512, 1000000, 3000, 16, 383.883485
512, 1000000, 3000, 32, 774.664897

2048, 1000, 100, 1, 0.000243
2048, 1000, 100, 2, 0.588183
2048, 1000, 100, 4, 0.627504
2048, 1000, 100, 8, 1.458599
2048, 1000, 100, 16, 3.076535
2048, 1000, 100, 32, 6.340729
2048, 1000, 1000, 1, 0.000256
2048, 1000, 1000, 2, 2.530792
2048, 1000, 1000, 4, 6.063896
2048, 1000, 1000, 8, 14.143692
2048, 1000, 1000, 16, 30.259132
2048, 1000, 1000, 32, 62.518106
2048, 1000, 3000, 1, 0.000300
2048, 1000, 3000, 2, 9.988887
2048, 1000, 3000, 4, 18.146542
2048, 1000, 3000, 8, 42.334665
2048, 1000, 3000, 16, 90.666606
2048, 1000, 3000, 32, 187.358498

2048, 1000000, 100, 1, 0.000148
2048, 1000000, 100, 2, 8.516413
2048, 1000000, 100, 4, 16.606257
2048, 1000000, 100, 8, 33.538643
2048, 1000000, 100, 16, 23.080680
2048, 1000000, 100, 32, 30.370166
2048, 1000000, 1000, 1, 0.000166
2048, 1000000, 1000, 2, 10.314291
2048, 1000000, 1000, 4, 21.898095
2048, 1000000, 1000, 8, 46.079146
2048, 1000000, 1000, 16, 50.118619
2048, 1000000, 1000, 32, 86.402945
2048, 1000000, 3000, 1, 0.000300
2048, 1000000, 3000, 2, 19.194961
2048, 1000000, 3000, 4, 35.403286
2048, 1000000, 3000, 8, 75.692751
2048, 1000000, 3000, 16, 111.948620
2048, 1000000, 3000, 32, 212.665855
